ts,metrics_code,metrics_s,uimetrics_code,uimetrics_s,models_code,models_s
02:31:33,200,0.000919,200,0.001001,200,0.000967
02:31:34,200,0.001000,200,0.000937,200,0.000894
02:31:36,200,0.000896,200,0.000908,200,0.000908
02:31:37,200,0.000923,200,0.000912,200,0.000879
02:31:38,200,0.000946,200,0.000909,200,0.000890
02:31:39,200,0.001002,200,0.001001,200,0.000967
02:31:40,200,0.000994,200,0.000933,200,0.000874
02:31:41,200,0.000960,200,0.000983,200,0.001031
02:31:43,200,0.001120,200,0.000978,200,0.000989
02:31:44,200,0.000929,200,0.000924,200,0.000944
02:31:45,200,0.000996,200,0.001039,200,0.019793
02:31:46,200,0.001001,200,0.000969,200,0.000869
02:31:47,200,0.001052,200,0.001111,200,0.001040
02:31:49,200,0.001009,200,0.001031,200,0.000881
02:31:50,200,0.000943,200,0.000915,200,0.000951
02:31:51,200,0.000926,200,0.001113,200,0.001012
02:31:52,200,0.001036,200,0.000968,200,0.000916
02:31:53,200,0.001021,200,0.000917,200,0.001025
02:31:55,200,0.000838,200,0.000890,200,0.000959
02:31:56,200,0.000949,200,0.000940,200,0.000942
02:31:57,200,0.000937,200,0.000981,200,0.000907
02:31:58,200,0.001265,200,0.000945,200,0.001017
02:31:59,200,0.001021,200,0.000987,200,0.001011
02:32:01,200,0.000982,200,0.001055,200,0.001019
02:32:02,200,0.000898,200,0.000941,200,0.000972
02:32:03,200,0.000965,200,0.000942,200,0.000901
02:32:04,200,0.001145,200,0.001053,200,0.000936
02:32:05,200,0.001050,200,0.000966,200,0.022365
02:32:07,200,0.001202,200,0.000959,200,0.023154
02:32:08,200,0.013475,200,0.001025,200,0.000990
02:32:09,200,0.014314,200,0.000931,200,0.001031
02:32:10,200,0.000881,200,0.001012,200,0.000912
02:32:11,200,0.000979,200,0.000992,200,0.000895
02:32:13,200,0.000944,200,0.000924,200,0.000912
02:32:14,200,0.000911,200,0.000947,200,0.001040
02:32:15,200,0.001042,200,0.019950,200,0.001347
02:32:16,200,0.000936,200,0.000889,200,0.000958
02:32:17,200,0.001011,200,0.000992,200,0.001058
02:32:19,200,0.000984,200,0.000937,200,0.000979
02:32:20,200,0.000951,200,0.000897,200,0.000905
02:32:21,200,0.000996,200,0.000956,200,0.000960
02:32:22,200,0.001067,200,0.000918,200,0.000924
02:32:23,200,0.000939,200,0.000977,200,0.000942
02:32:25,200,0.000935,200,0.001000,200,0.000922
02:32:26,200,0.000969,200,0.000997,200,0.000904
02:32:27,200,0.000971,200,0.000924,200,0.000908
02:32:28,200,0.001016,200,0.021100,200,0.000955
