ts,direct_9464,ui_8000,vite_5173,established_5173,established_8000
02:36:03,200/0.001003,200/0.001065,200/0.001658,12,12
02:36:05,200/0.001072,200/0.001147,200/0.001865,12,12
02:36:06,200/0.001158,200/0.001079,200/0.001741,12,12
02:36:08,200/0.001169,200/0.001410,200/0.001785,12,12
02:36:09,200/0.000923,200/0.000917,200/0.001723,12,12
02:36:10,200/0.001034,200/0.000962,200/0.001911,12,12
02:36:12,200/0.001117,200/0.000938,200/0.001917,12,10
02:36:13,200/0.001088,200/0.001014,200/0.002155,10,10
02:36:15,200/0.000891,200/0.000985,200/0.002122,10,10
02:36:16,200/0.001336,200/0.001136,200/0.001727,10,10
02:36:17,200/0.001019,200/0.001035,200/0.001762,8,8
02:36:19,200/0.000957,200/0.001201,200/0.002055,8,8
02:36:20,200/0.000923,200/0.001206,200/0.002161,8,8
02:36:21,200/0.001214,200/0.001118,200/0.001697,8,8
02:36:23,200/0.001077,200/0.001252,200/0.002028,8,8
02:36:24,200/0.001010,200/0.025580,200/0.001697,8,8
02:36:26,200/0.001110,200/0.001088,200/0.002289,8,8
02:36:27,200/0.000992,200/0.001125,200/0.002062,8,8
02:36:28,200/0.001048,200/0.000971,200/0.001784,8,8
02:36:30,200/0.000961,200/0.000968,200/0.002197,8,8
02:36:31,200/0.001062,200/0.001021,200/0.002439,8,8
02:36:33,200/0.000938,200/0.017212,200/0.001689,8,8
02:36:34,200/0.001188,200/0.001148,200/0.001737,8,8
02:36:35,200/0.001176,200/0.001020,200/0.002122,8,8
02:36:37,200/0.000919,200/0.001136,200/0.001756,8,8
02:36:38,200/0.001064,200/0.001110,200/0.001753,6,6
02:36:39,200/0.001479,200/0.001261,200/0.002100,4,4
02:36:41,200/0.001057,200/0.001084,200/0.002150,6,6
02:36:42,200/0.001116,200/0.001016,200/0.001894,6,6
02:36:44,200/0.001041,200/0.000930,200/0.001691,6,6
02:36:45,200/0.000998,200/0.001012,200/0.001693,6,6
02:36:46,200/0.000947,200/0.001031,200/0.001838,6,6
02:36:48,200/0.000973,200/0.001015,200/0.001636,6,6
02:36:49,200/0.001152,200/0.001425,200/0.002090,6,6
02:36:51,200/0.000921,200/0.001037,200/0.001958,6,6
02:36:52,200/0.001053,200/0.000972,200/0.001570,6,6
02:36:53,200/0.000980,200/0.001024,200/0.001924,6,6
02:36:55,200/0.001028,200/0.000999,200/0.002014,6,6
02:36:56,200/0.001074,200/0.017799,200/0.001854,6,6
02:36:58,200/0.001080,200/0.001242,200/0.002149,6,6
02:36:59,200/0.000920,200/0.000972,200/0.001617,6,6
02:37:00,200/0.000966,200/0.001266,200/0.002273,6,6
02:37:02,200/0.001010,200/0.001180,200/0.001784,6,6
02:37:03,200/0.001007,200/0.001201,200/0.003024,6,6
02:37:05,200/0.001102,200/0.001185,200/0.001894,6,6
02:37:06,200/0.001001,200/0.001083,200/0.001768,4,4
02:37:07,200/0.001027,200/0.001057,200/0.001770,4,4
02:37:09,200/0.001400,200/0.002399,200/0.001676,4,6
02:37:10,200/0.001405,200/0.001125,200/0.001767,4,4
02:37:12,200/0.026148,200/0.000941,200/0.001944,4,4
02:37:13,200/0.001017,200/0.000923,200/0.002028,2,2
02:37:14,200/0.000968,200/0.001028,200/0.001736,2,2
02:37:16,200/0.000918,200/0.000970,200/0.001729,2,2
02:37:17,200/0.000956,200/0.001132,200/0.002025,2,2
02:37:19,200/0.001045,200/0.000955,200/0.002108,2,2
02:37:20,200/0.001328,200/0.001292,200/0.002008,2,2
02:37:21,200/0.000914,200/0.000980,200/0.022053,2,2
02:37:23,200/0.001002,200/0.001038,200/0.001777,2,2
02:37:24,200/0.000979,200/0.001021,200/0.001913,2,2
02:37:26,200/0.001128,200/0.001064,200/0.001903,2,2
02:37:27,200/0.001253,200/0.001156,200/0.001836,2,2
02:37:28,200/0.000867,200/0.000969,200/0.001930,2,2
02:37:30,200/0.001113,200/0.000999,200/0.001949,2,2
02:37:31,200/0.001000,200/0.001028,200/0.001826,2,2
02:37:32,200/0.001052,200/0.001000,200/0.001711,2,2
02:37:34,200/0.000980,200/0.000904,200/0.001686,2,2
02:37:35,200/0.001190,200/0.001468,200/0.001862,2,2
02:37:37,200/0.000912,200/0.000962,200/0.001837,2,2
02:37:38,200/0.000935,200/0.000886,200/0.001842,2,2
02:37:39,200/0.000947,200/0.000870,200/0.001612,2,2
02:37:41,200/0.000981,200/0.001157,200/0.024095,2,2
02:37:42,200/0.000965,200/0.001141,200/0.001714,2,2
02:37:43,200/0.000905,200/0.000961,200/0.001672,2,2
02:37:45,200/0.000870,200/0.000875,200/0.001681,2,2
02:37:46,200/0.000929,200/0.000952,200/0.001742,2,2
02:37:48,200/0.000939,200/0.000988,200/0.001639,2,2
02:37:49,200/0.000870,200/0.000996,200/0.001551,2,2
02:37:50,200/0.001125,200/0.001094,200/0.001877,2,2
02:37:52,200/0.001105,200/0.000910,200/0.001811,2,2
02:37:53,200/0.000984,200/0.001026,200/0.001671,2,2
02:37:54,200/0.000929,200/0.000937,200/0.001691,2,2
02:37:56,200/0.001007,200/0.000971,200/0.001692,2,2
02:37:57,200/0.001051,200/0.001065,200/0.026326,2,2
02:37:59,200/0.000828,200/0.000950,200/0.001739,2,2
02:38:00,200/0.000904,200/0.000932,200/0.001915,2,2
02:38:01,200/0.001127,200/0.000895,200/0.024350,2,2
02:38:03,200/0.000955,200/0.000888,200/0.001590,2,2
02:38:04,200/0.000971,200/0.000918,200/0.001645,2,2
02:38:05,200/0.000860,200/0.000917,200/0.001664,2,2
02:38:07,200/0.000914,200/0.000912,200/0.001616,2,2
02:38:08,200/0.000895,200/0.000931,200/0.001653,2,2
02:38:09,200/0.001041,200/0.001026,200/0.001645,2,2
02:38:11,200/0.001035,200/0.000953,200/0.001668,2,2
02:38:12,200/0.000954,200/0.000929,200/0.002006,2,2
02:38:13,200/0.000937,200/0.000933,200/0.001710,2,2
02:38:15,200/0.000820,200/0.000988,200/0.001662,2,2
02:38:16,200/0.001069,200/0.000952,200/0.001606,2,2
02:38:18,200/0.017974,200/0.000949,200/0.001575,2,2
02:38:19,200/0.000987,200/0.000943,200/0.001651,2,2
02:38:20,200/0.000942,200/0.000958,200/0.001684,2,2
02:38:22,200/0.000907,200/0.001041,200/0.001646,2,2
02:38:23,200/0.000901,200/0.000897,200/0.001751,2,2
02:38:24,200/0.000876,200/0.000911,200/0.001680,2,2
02:38:26,200/0.001106,200/0.000919,200/0.001713,2,2
02:38:27,200/0.001004,200/0.000928,200/0.001641,2,2
02:38:28,200/0.000962,200/0.001073,200/0.003274,2,2
02:38:30,200/0.001003,200/0.001064,200/0.001599,2,2
02:38:31,200/0.001053,200/0.001023,200/0.001621,2,2
02:38:33,200/0.000958,200/0.000994,200/0.001592,2,2
02:38:34,200/0.000890,200/0.000878,200/0.001646,2,2
02:38:35,200/0.000889,200/0.001039,200/0.001704,2,2
02:38:37,200/0.000930,200/0.000944,200/0.001765,2,2
02:38:38,200/0.000989,200/0.000903,200/0.001600,2,2
02:38:39,200/0.000908,200/0.000994,200/0.015665,2,2
02:38:41,200/0.000978,200/0.001011,200/0.001563,2,2
02:38:42,200/0.001181,200/0.001015,200/0.001592,2,2
02:38:44,200/0.000906,200/0.000933,200/0.001607,2,2
02:38:45,200/0.000950,200/0.000956,200/0.001665,2,2
02:38:46,200/0.001052,200/0.000928,200/0.001656,2,2
02:38:48,200/0.000901,200/0.000967,200/0.001684,2,2
02:38:49,200/0.001056,200/0.001025,200/0.001768,2,2
02:38:50,200/0.001054,200/0.000903,200/0.001623,2,2
02:38:52,200/0.000856,200/0.000930,200/0.001829,2,2
02:38:53,200/0.001097,200/0.000916,200/0.001606,2,2
02:38:54,200/0.000996,200/0.000916,200/0.001571,2,2
02:38:56,200/0.000980,200/0.000924,200/0.001720,2,2
02:38:57,200/0.001080,200/0.000946,200/0.001675,2,2
02:38:58,200/0.014377,200/0.000939,200/0.001675,2,2
02:39:00,200/0.000954,200/0.000892,200/0.001580,2,2
02:39:01,200/0.001273,200/0.001093,200/0.001805,2,2
02:39:03,200/0.000947,200/0.000891,200/0.001818,2,2
02:39:04,200/0.000991,200/0.001056,200/0.001518,2,2
02:39:05,200/0.001125,200/0.000881,200/0.001891,2,2
02:39:07,200/0.000898,200/0.000952,200/0.002009,2,2
02:39:08,200/0.000984,200/0.001385,200/0.002162,2,2
02:39:09,200/0.000965,200/0.000941,200/0.001605,2,2
02:39:11,200/0.001064,200/0.001005,200/0.001506,2,2
02:39:12,200/0.000958,200/0.000919,200/0.001729,2,2
02:39:13,200/0.000925,200/0.000901,200/0.001719,2,2
02:39:15,200/0.001024,200/0.000891,200/0.001617,2,2
02:39:16,200/0.001077,200/0.013716,200/0.001568,2,2
02:39:18,200/0.000940,200/0.001097,200/0.020495,2,2
02:39:19,200/0.001362,200/0.000931,200/0.001637,2,2
02:39:20,200/0.000945,200/0.000924,200/0.002109,2,2
02:39:22,200/0.000911,200/0.001315,200/0.001576,2,2
02:39:23,200/0.000925,200/0.000976,200/0.001651,2,2
02:39:24,200/0.001117,200/0.000944,200/0.001686,2,2
02:39:26,200/0.001112,200/0.000961,200/0.016933,2,2
02:39:27,200/0.000885,200/0.000959,200/0.001507,2,2
02:39:29,200/0.000918,200/0.000938,200/0.001559,2,2
02:39:30,200/0.000890,200/0.000973,200/0.001691,2,2
02:39:31,200/0.000898,200/0.000947,200/0.001676,2,2
02:39:33,200/0.001019,200/0.000977,200/0.001548,2,2
02:39:34,200/0.000935,200/0.000909,200/0.001572,2,2
02:39:35,200/0.000931,200/0.000981,200/0.001567,2,2
02:39:37,200/0.000930,200/0.000918,200/0.001723,2,2
02:39:38,200/0.001021,200/0.001981,200/0.002148,2,2
02:39:39,200/0.000929,200/0.000937,200/0.001752,2,2
02:39:41,200/0.000912,200/0.000890,200/0.001662,2,2
02:39:42,200/0.000983,200/0.000904,200/0.001610,2,2
02:39:43,200/0.000934,200/0.000919,200/0.001646,2,2
02:39:45,200/0.001026,200/0.000873,200/0.001631,2,2
02:39:46,200/0.001076,200/0.000930,200/0.001743,2,2
02:39:48,200/0.000906,200/0.000953,200/0.001523,2,2
02:39:49,200/0.000992,200/0.000902,200/0.001542,2,2
02:39:50,200/0.000958,200/0.001045,200/0.001841,2,2
02:39:52,200/0.000903,200/0.000962,200/0.001503,2,2
02:39:53,200/0.001030,200/0.000967,200/0.001615,2,2
02:39:54,200/0.000985,200/0.000902,200/0.001606,2,2
02:39:56,200/0.001027,200/0.000932,200/0.001567,2,2
02:39:57,200/0.000985,200/0.000957,200/0.001754,2,2
02:39:58,200/0.000969,200/0.000971,200/0.001657,2,2
02:40:00,200/0.000927,200/0.000939,200/0.001568,2,2
02:40:01,200/0.001123,200/0.001029,200/0.001621,2,2
02:40:03,200/0.001061,200/0.000920,200/0.001729,2,2
02:40:04,200/0.000878,200/0.000942,200/0.001737,2,2
02:40:05,200/0.001037,200/0.000942,200/0.001607,2,2
02:40:07,200/0.001041,200/0.000964,200/0.001695,2,2
02:40:08,200/0.000987,200/0.001017,200/0.001655,2,2
02:40:09,200/0.000932,200/0.000900,200/0.001522,2,2
02:40:11,200/0.000926,200/0.000935,200/0.001680,2,2
02:40:12,200/0.000882,200/0.001061,200/0.001572,2,2
02:40:13,200/0.001030,200/0.000940,200/0.001624,2,2
02:40:15,200/0.001013,200/0.000917,200/0.001677,2,2
02:40:16,200/0.000904,200/0.023840,200/0.001577,2,2
02:40:18,200/0.001132,200/0.000960,200/0.001551,2,2
02:40:19,200/0.000882,200/0.000961,200/0.001666,2,2
02:40:20,200/0.000908,200/0.000924,200/0.001637,2,2
02:40:22,200/0.000892,200/0.000885,200/0.001677,2,2
02:40:23,200/0.000886,200/0.000918,200/0.001506,2,2
02:40:24,200/0.000981,200/0.010696,200/0.001546,2,2
02:40:26,200/0.000935,200/0.000904,200/0.001603,2,2
02:40:27,200/0.000964,200/0.001013,200/0.001724,2,2
02:40:29,200/0.001169,200/0.000999,200/0.001640,2,2
