timestamp_ms,sm_clock_mhz,mem_clock_mhz,pstate,temp_c,power_w,util_gpu_pct,util_mem_pct,throttle_reasons,proc_cpu_pct,proc_threads,proc_workingset_mb
389,1185,14001,P0,36,71.11,3,0,0x0000000000000000,,29,351.6
1065,1080,14001,P0,36,69.13,3,0,0x0000000000000000,0,29,351.6
1726,1207,14001,P0,36,67.82,2,0,0x0000000000000000,0,29,351.6
2391,1072,14001,P0,36,68.25,3,0,0x0000000000000000,0,29,351.6
3039,1012,14001,P0,36,67.07,4,0,0x0000000000000000,0,29,351.6
3730,1170,14001,P0,36,67.55,2,0,0x0000000000000000,0,29,351.6
4367,1125,14001,P0,36,68.61,2,0,0x0000000000000000,0,29,351.6
5029,1027,14001,P0,36,66.73,3,0,0x0000000000000000,0,29,351.6
5676,952,14001,P0,36,66.59,3,0,0x0000000000000000,0,29,351.6
6342,1065,14001,P0,36,66.52,4,0,0x0000000000000000,0,29,351.6
7035,1057,14001,P0,36,67.09,3,0,0x0000000000000000,0,29,351.6
7758,1012,14001,P0,36,67.16,3,0,0x0000000000000000,0,29,351.6
8481,1027,14001,P0,36,66.68,1,0,0x0000000000000000,0,29,351.6
9217,1012,14001,P0,36,66.18,3,0,0x0000000000000000,0,29,351.6
9929,967,14001,P0,36,67.43,6,1,0x0000000000000000,0,29,351.6
10632,1072,14001,P0,36,66.64,2,0,0x0000000000000000,0,29,351.6
11371,1110,14001,P0,36,67.63,3,0,0x0000000000000000,0,29,351.6
12044,1222,14001,P0,36,68.93,3,0,0x0000000000000000,0,29,351.6
12700,1282,14001,P0,36,69.13,2,0,0x0000000000000000,0,29,351.6
13376,1297,14001,P0,36,69.05,3,0,0x0000000000000000,0,29,351.6
14074,1612,14001,P0,36,74.03,8,1,0x0000000000000000,0,29,351.6
14832,1710,14001,P0,36,79.02,6,0,0x0000000000000000,0,29,351.6
15488,1470,14001,P0,36,74.29,4,0,0x0000000000000000,0,29,351.6
16393,1350,14001,P0,36,72.20,5,0,0x0000000000000000,0,29,351.6
17063,1327,14001,P0,36,71.31,2,0,0x0000000000000000,0,29,352
17726,1260,14001,P0,36,70.38,3,0,0x0000000000000000,0,29,352
