timestamp_ms,sm_clock_mhz,mem_clock_mhz,pstate,temp_c,power_w,util_gpu_pct,util_mem_pct,throttle_reasons,proc_cpu_pct,proc_threads,proc_workingset_mb
394,2025,14001,P0,40,84.18,9,1,0x0000000000000000,,29,351.1
1132,1642,14001,P0,39,82.22,6,0,0x0000000000000000,0,29,351.1
1788,1642,14001,P0,40,78.33,6,0,0x0000000000000000,0,29,351.1
2480,1627,14001,P0,39,81.07,6,0,0x0000000000000000,0,29,351.1
3139,1545,14001,P0,39,77.79,5,0,0x0000000000000000,0,29,351.1
3798,1552,14001,P0,39,76.19,7,1,0x0000000000000000,0,29,351.1
4557,1567,14001,P0,39,75.96,7,1,0x0000000000000000,0,29,351.1
5224,1507,14001,P0,39,76.72,7,1,0x0000000000000000,0,29,351.1
5883,1365,14001,P0,39,75.63,5,0,0x0000000000000000,0,29,351.1
6538,1462,14001,P0,39,75.81,6,0,0x0000000000000000,0,29,351.1
7186,1432,14001,P0,39,76.04,5,0,0x0000000000000000,0,29,351.1
7899,1440,14001,P0,39,75.40,5,0,0x0000000000000000,0,29,351.1
8558,1560,14001,P0,39,75.58,5,0,0x0000000000000000,0,29,351.1
9211,1492,14001,P0,39,75.83,5,0,0x0000000000000000,0,29,351.1
9986,1417,14001,P0,39,75.44,5,0,0x0000000000000000,0,29,351.1
10684,1485,14001,P0,39,74.93,5,0,0x0000000000000000,0,29,351.1
11363,1552,14001,P0,39,77.29,7,0,0x0000000000000000,0,29,351.5
12072,1447,14001,P0,39,76.99,5,0,0x0000000000000000,0,29,351.5
12740,1462,14001,P0,39,76.44,6,0,0x0000000000000000,1.01,29,373.1
13394,2790,14001,P0,50,458.60,97,51,0x0000000000000000,2.42,29,373.2
14067,2887,14001,P0,50,526.19,98,71,0x0000000000000000,2.18,29,373.2
14735,2887,14001,P0,50,474.57,99,69,0x0000000000000000,2.48,29,373.2
15401,2887,14001,P0,51,472.52,99,68,0x0000000000000000,2.59,29,373.2
16210,2887,14001,P0,51,473.03,99,70,0x0000000000000000,2.21,29,373.2
16893,2887,14001,P0,47,473.55,99,67,0x0000000000000000,1.05,29,373.2
17568,2917,14001,P0,43,325.94,5,1,0x0000000000000000,0,29,373.2
18235,2925,14001,P0,43,159.62,4,0,0x0000000000000000,0,29,373.2
18923,2452,14001,P0,42,103.89,6,1,0x0000000000000000,0,29,373.2
19604,1792,14001,P0,41,88.67,7,1,0x0000000000000000,0,29,373.2
20272,1695,14001,P0,41,79.34,6,0,0x0000000000000000,0,29,373.2
20941,1597,14001,P0,41,78.16,6,0,0x0000000000000000,0,29,373.2
21613,1665,14001,P0,41,78.52,9,1,0x0000000000000000,0,29,373.2
22298,1492,14001,P0,41,77.88,5,0,0x0000000000000000,0.11,29,377.2
