2026/09/13 19:51:22.739, 2 %, 0 %, 68.77 W, 2010 MHz, 14001 MHz, 45
2026/09/13 19:51:23.747, 2 %, 0 %, 68.86 W, 2010 MHz, 14001 MHz, 45
2026/09/13 19:51:24.752, 94 %, 26 %, 97.86 W, 2010 MHz, 14001 MHz, 50
2026/09/13 19:51:25.759, 99 %, 61 %, 362.30 W, 1987 MHz, 14001 MHz, 51
2026/09/13 19:51:26.764, 98 %, 61 %, 301.82 W, 1995 MHz, 14001 MHz, 51
2026/09/13 19:51:27.769, 99 %, 58 %, 301.55 W, 1995 MHz, 14001 MHz, 50
2026/09/13 19:51:28.776, 99 %, 61 %, 300.68 W, 1995 MHz, 14001 MHz, 51
2026/09/13 19:51:29.781, 93 %, 59 %, 302.62 W, 1995 MHz, 14001 MHz, 51
2026/09/13 19:51:30.786, 2 %, 1 %, 69.27 W, 2010 MHz, 14001 MHz, 46
2026/09/13 19:51:31.792, 7 %, 0 %, 69.90 W, 2010 MHz, 14001 MHz, 46
2026/09/13 19:51:32.799, 2 %, 1 %, 69.96 W, 2010 MHz, 14001 MHz, 45
2026/09/13 19:51:33.804, 8 %, 1 %, 69.02 W, 2010 MHz, 14001 MHz, 45
2026/09/13 19:51:34.808, 2 %, 0 %, 69.66 W, 2010 MHz, 14001 MHz, 45
2026/09/13 19:51:35.816, 99 %, 27 %, 100.45 W, 2010 MHz, 14001 MHz, 51
2026/09/13 19:51:36.822, 97 %, 33 %, 368.67 W, 1987 MHz, 14001 MHz, 52
2026/09/13 19:51:37.825, 94 %, 29 %, 358.65 W, 1987 MHz, 14001 MHz, 52
2026/09/13 19:51:38.831, 92 %, 28 %, 353.33 W, 1987 MHz, 14001 MHz, 53
2026/09/13 19:51:39.838, 97 %, 30 %, 357.52 W, 1987 MHz, 14001 MHz, 54
2026/09/13 19:51:40.843, 99 %, 58 %, 270.71 W, 2002 MHz, 14001 MHz, 49
2026/09/13 19:51:41.849, 99 %, 59 %, 280.87 W, 1995 MHz, 14001 MHz, 51
2026/09/13 19:51:42.853, 99 %, 59 %, 286.80 W, 1995 MHz, 14001 MHz, 51
