2026/09/13 19:44:08.861, 1 %, 0 %, 63.70 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:09.883, 0 %, 0 %, 62.25 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:10.887, 0 %, 0 %, 62.45 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:11.890, 98 %, 22 %, 295.73 W, 1987 MHz, 13801 MHz, 48
2026/09/13 19:44:12.896, 0 %, 0 %, 222.41 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:44:13.900, 0 %, 0 %, 63.01 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:14.906, 0 %, 0 %, 62.21 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:15.912, 0 %, 0 %, 62.64 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:16.930, 0 %, 0 %, 62.32 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:17.935, 0 %, 0 %, 62.42 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:44:18.953, 98 %, 22 %, 330.80 W, 1987 MHz, 13801 MHz, 49
2026/09/13 19:44:19.961, 99 %, 23 %, 360.72 W, 1987 MHz, 13801 MHz, 49
2026/09/13 19:44:20.966, 98 %, 29 %, 359.53 W, 1987 MHz, 13801 MHz, 49
2026/09/13 19:44:21.970, 98 %, 28 %, 357.74 W, 1987 MHz, 13801 MHz, 50
2026/09/13 19:44:22.973, 98 %, 54 %, 305.44 W, 1995 MHz, 13801 MHz, 47
2026/09/13 19:44:23.978, 99 %, 55 %, 285.27 W, 1995 MHz, 13801 MHz, 47
2026/09/13 19:44:24.983, 99 %, 55 %, 283.74 W, 1995 MHz, 13801 MHz, 47
2026/09/13 19:44:25.986, 99 %, 55 %, 285.49 W, 1995 MHz, 13801 MHz, 47
2026/09/13 19:44:26.990, 0 %, 0 %, 193.80 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:44:27.994, 0 %, 0 %, 63.93 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:44:28.999, 0 %, 0 %, 63.84 W, 2010 MHz, 13801 MHz, 42
