2026/09/13 20:00:52.467, 3 %, 0 %, 66.38 W, 2010 MHz, 14001 MHz, 37
2026/09/13 20:00:53.473, 8 %, 1 %, 67.18 W, 2010 MHz, 14001 MHz, 37
2026/09/13 20:00:54.479, 3 %, 0 %, 67.10 W, 2010 MHz, 14001 MHz, 37
2026/09/13 20:00:55.483, 98 %, 24 %, 218.98 W, 1972 MHz, 14001 MHz, 46
2026/09/13 20:00:56.488, 4 %, 1 %, 302.38 W, 1995 MHz, 14001 MHz, 39
2026/09/13 20:00:57.495, 4 %, 0 %, 67.76 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:00:58.500, 4 %, 1 %, 67.18 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:00:59.506, 4 %, 1 %, 66.61 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:00.513, 5 %, 1 %, 67.16 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:01.521, 4 %, 1 %, 66.99 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:02.527, 99 %, 26 %, 128.87 W, 2002 MHz, 14001 MHz, 45
2026/09/13 20:01:03.535, 97 %, 32 %, 354.67 W, 1995 MHz, 14001 MHz, 46
2026/09/13 20:01:04.541, 91 %, 43 %, 345.49 W, 1987 MHz, 14001 MHz, 46
2026/09/13 20:01:05.547, 98 %, 33 %, 347.57 W, 1980 MHz, 14001 MHz, 47
2026/09/13 20:01:06.552, 98 %, 58 %, 287.13 W, 2002 MHz, 14001 MHz, 44
2026/09/13 20:01:07.557, 99 %, 60 %, 271.83 W, 2002 MHz, 14001 MHz, 44
2026/09/13 20:01:08.564, 98 %, 59 %, 271.51 W, 2002 MHz, 14001 MHz, 44
2026/09/13 20:01:09.571, 98 %, 59 %, 281.62 W, 1995 MHz, 14001 MHz, 45
2026/09/13 20:01:10.578, 4 %, 1 %, 119.85 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:01:11.580, 3 %, 1 %, 67.72 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:01:12.589, 5 %, 1 %, 67.76 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:01:13.599, 3 %, 1 %, 67.60 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:01:14.604, 3 %, 1 %, 67.32 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:15.611, 4 %, 1 %, 67.58 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:16.620, 3 %, 1 %, 67.37 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:17.624, 4 %, 1 %, 67.32 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:18.631, 4 %, 1 %, 67.32 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:19.636, 4 %, 1 %, 67.19 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:20.642, 3 %, 1 %, 67.05 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:21.649, 4 %, 1 %, 66.88 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:22.653, 3 %, 1 %, 67.00 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:23.657, 4 %, 1 %, 67.00 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:24.662, 4 %, 1 %, 66.91 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:25.665, 5 %, 1 %, 67.25 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:26.671, 5 %, 1 %, 67.42 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:27.677, 5 %, 1 %, 67.62 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:28.680, 3 %, 1 %, 67.14 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:29.690, 4 %, 1 %, 67.30 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:30.696, 4 %, 1 %, 66.94 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:31.699, 4 %, 1 %, 67.35 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:32.702, 3 %, 1 %, 66.87 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:33.710, 3 %, 0 %, 67.33 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:34.718, 4 %, 1 %, 67.17 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:35.724, 4 %, 1 %, 67.27 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:36.730, 4 %, 1 %, 67.01 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:37.736, 4 %, 1 %, 67.03 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:01:38.742, 4 %, 1 %, 67.07 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:39.751, 4 %, 1 %, 67.02 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:40.759, 5 %, 0 %, 66.96 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:41.764, 8 %, 1 %, 68.44 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:42.767, 3 %, 0 %, 67.21 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:43.771, 3 %, 0 %, 66.76 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:44.774, 3 %, 0 %, 67.12 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:45.781, 3 %, 0 %, 66.78 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:46.787, 2 %, 0 %, 66.51 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:47.795, 2 %, 0 %, 66.65 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:48.798, 2 %, 0 %, 66.40 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:49.804, 2 %, 0 %, 66.61 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:50.813, 2 %, 0 %, 66.57 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:51.819, 3 %, 0 %, 66.69 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:52.825, 3 %, 0 %, 66.25 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:53.831, 3 %, 1 %, 66.29 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:54.839, 2 %, 1 %, 66.74 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:55.845, 2 %, 0 %, 66.88 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:56.850, 2 %, 1 %, 66.63 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:57.854, 4 %, 1 %, 66.84 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:58.859, 3 %, 1 %, 66.92 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:01:59.867, 2 %, 0 %, 66.75 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:00.874, 3 %, 0 %, 66.64 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:01.877, 2 %, 0 %, 66.59 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:02.882, 3 %, 0 %, 66.49 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:03.886, 2 %, 0 %, 66.54 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:04.891, 2 %, 0 %, 66.38 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:05.894, 2 %, 0 %, 66.58 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:06.897, 2 %, 0 %, 66.48 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:07.902, 2 %, 0 %, 66.83 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:08.906, 2 %, 0 %, 66.34 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:09.911, 2 %, 0 %, 66.69 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:10.915, 2 %, 0 %, 66.41 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:11.921, 2 %, 0 %, 66.36 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:12.927, 2 %, 0 %, 66.26 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:13.932, 2 %, 0 %, 66.16 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:14.940, 3 %, 0 %, 66.43 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:15.951, 2 %, 0 %, 66.08 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:16.956, 2 %, 0 %, 66.36 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:17.962, 2 %, 0 %, 66.55 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:18.969, 2 %, 0 %, 66.83 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:19.974, 2 %, 0 %, 66.53 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:20.981, 3 %, 0 %, 66.46 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:21.986, 2 %, 0 %, 66.41 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:22.992, 2 %, 0 %, 66.42 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:23.994, 2 %, 0 %, 66.58 W, 2010 MHz, 14001 MHz, 38
2026/09/13 20:02:24.999, 97 %, 31 %, 270.05 W, 1980 MHz, 14001 MHz, 46
2026/09/13 20:02:26.005, 96 %, 32 %, 360.58 W, 1980 MHz, 14001 MHz, 47
2026/09/13 20:02:27.010, 97 %, 31 %, 337.47 W, 1995 MHz, 14001 MHz, 47
2026/09/13 20:02:28.018, 99 %, 22 %, 352.78 W, 1987 MHz, 14001 MHz, 48
2026/09/13 20:02:29.021, 99 %, 20 %, 344.87 W, 1987 MHz, 14001 MHz, 48
2026/09/13 20:02:30.026, 98 %, 25 %, 334.90 W, 1995 MHz, 14001 MHz, 48
2026/09/13 20:02:31.031, 98 %, 22 %, 330.38 W, 1995 MHz, 14001 MHz, 48
2026/09/13 20:02:32.037, 98 %, 24 %, 328.70 W, 1995 MHz, 14001 MHz, 46
2026/09/13 20:02:33.043, 98 %, 62 %, 281.62 W, 2002 MHz, 14001 MHz, 44
2026/09/13 20:02:34.048, 99 %, 60 %, 255.45 W, 2002 MHz, 14001 MHz, 44
2026/09/13 20:02:35.056, 98 %, 29 %, 303.02 W, 1980 MHz, 14001 MHz, 49
2026/09/13 20:02:36.060, 98 %, 24 %, 351.71 W, 1987 MHz, 14001 MHz, 50
2026/09/13 20:02:37.068, 99 %, 20 %, 342.86 W, 1987 MHz, 14001 MHz, 50
2026/09/13 20:02:38.074, 98 %, 25 %, 335.29 W, 1987 MHz, 14001 MHz, 48
2026/09/13 20:02:39.080, 97 %, 24 %, 331.89 W, 1995 MHz, 14001 MHz, 48
2026/09/13 20:02:40.086, 99 %, 22 %, 329.44 W, 1995 MHz, 14001 MHz, 51
2026/09/13 20:02:41.091, 98 %, 62 %, 273.95 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:42.097, 99 %, 60 %, 256.31 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:43.103, 98 %, 60 %, 254.02 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:44.108, 99 %, 60 %, 254.54 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:45.111, 99 %, 60 %, 254.96 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:46.115, 99 %, 60 %, 254.57 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:47.121, 99 %, 60 %, 255.04 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:48.127, 98 %, 60 %, 253.64 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:49.130, 99 %, 60 %, 254.65 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:50.136, 99 %, 60 %, 254.46 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:51.140, 99 %, 60 %, 254.70 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:52.146, 99 %, 60 %, 255.15 W, 2002 MHz, 14001 MHz, 46
2026/09/13 20:02:53.151, 99 %, 60 %, 255.10 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:02:54.156, 99 %, 59 %, 254.80 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:02:55.160, 98 %, 60 %, 252.76 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:02:56.168, 99 %, 60 %, 254.91 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:02:57.185, 99 %, 60 %, 255.33 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:02:58.192, 98 %, 60 %, 255.67 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:02:59.196, 98 %, 61 %, 256.33 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:00.200, 98 %, 61 %, 256.08 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:01.204, 98 %, 59 %, 254.91 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:02.209, 99 %, 59 %, 251.20 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:03.211, 99 %, 60 %, 252.94 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:04.216, 99 %, 59 %, 253.70 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:05.235, 99 %, 56 %, 251.92 W, 2002 MHz, 14001 MHz, 47
2026/09/13 20:03:06.241, 99 %, 59 %, 246.94 W, 2002 MHz, 14001 MHz, 48
2026/09/13 20:03:07.248, 99 %, 59 %, 252.17 W, 2002 MHz, 14001 MHz, 48
2026/09/13 20:03:08.256, 99 %, 59 %, 251.65 W, 2002 MHz, 14001 MHz, 48
2026/09/13 20:03:09.260, 97 %, 33 %, 265.56 W, 1995 MHz, 14001 MHz, 52
2026/09/13 20:03:10.266, 96 %, 29 %, 350.11 W, 1987 MHz, 14001 MHz, 51
2026/09/13 20:03:11.273, 98 %, 27 %, 341.84 W, 1987 MHz, 14001 MHz, 53
2026/09/13 20:03:12.280, 99 %, 18 %, 337.71 W, 1995 MHz, 14001 MHz, 54
2026/09/13 20:03:13.283, 99 %, 18 %, 334.14 W, 1995 MHz, 14001 MHz, 54
2026/09/13 20:03:14.288, 99 %, 16 %, 327.99 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:03:15.290, 99 %, 61 %, 297.27 W, 2002 MHz, 14001 MHz, 50
2026/09/13 20:03:16.298, 99 %, 59 %, 263.82 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:17.301, 99 %, 60 %, 254.47 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:18.305, 98 %, 59 %, 254.52 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:19.314, 99 %, 59 %, 254.10 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:20.318, 99 %, 60 %, 254.32 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:21.323, 99 %, 59 %, 254.55 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:22.326, 99 %, 59 %, 253.84 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:23.333, 99 %, 59 %, 253.36 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:24.339, 99 %, 59 %, 254.59 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:03:25.344, 98 %, 30 %, 312.47 W, 1987 MHz, 14001 MHz, 53
2026/09/13 20:03:26.345, 98 %, 26 %, 350.05 W, 1987 MHz, 14001 MHz, 55
2026/09/13 20:03:27.353, 99 %, 20 %, 343.37 W, 1987 MHz, 14001 MHz, 55
2026/09/13 20:03:28.359, 98 %, 25 %, 334.62 W, 1995 MHz, 14001 MHz, 52
2026/09/13 20:03:29.365, 98 %, 25 %, 330.52 W, 1995 MHz, 14001 MHz, 55
2026/09/13 20:03:30.371, 99 %, 22 %, 328.53 W, 1995 MHz, 14001 MHz, 55
2026/09/13 20:03:31.376, 99 %, 61 %, 271.28 W, 2002 MHz, 14001 MHz, 50
2026/09/13 20:03:32.383, 97 %, 32 %, 268.42 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:03:33.388, 99 %, 23 %, 356.32 W, 1987 MHz, 14001 MHz, 55
2026/09/13 20:03:34.393, 97 %, 27 %, 343.03 W, 1987 MHz, 14001 MHz, 55
2026/09/13 20:03:35.397, 99 %, 18 %, 339.00 W, 1987 MHz, 14001 MHz, 55
2026/09/13 20:03:36.399, 99 %, 17 %, 334.80 W, 1995 MHz, 14001 MHz, 55
2026/09/13 20:03:37.402, 98 %, 23 %, 329.30 W, 1995 MHz, 14001 MHz, 55
2026/09/13 20:03:38.408, 99 %, 62 %, 306.23 W, 2002 MHz, 14001 MHz, 51
2026/09/13 20:03:39.411, 99 %, 60 %, 264.59 W, 2002 MHz, 14001 MHz, 51
2026/09/13 20:03:40.416, 99 %, 60 %, 256.16 W, 2002 MHz, 14001 MHz, 51
2026/09/13 20:03:41.422, 98 %, 29 %, 282.08 W, 1980 MHz, 14001 MHz, 55
2026/09/13 20:03:42.431, 98 %, 28 %, 356.73 W, 1987 MHz, 14001 MHz, 56
2026/09/13 20:03:43.436, 98 %, 27 %, 345.32 W, 1987 MHz, 14001 MHz, 56
2026/09/13 20:03:44.444, 99 %, 18 %, 339.53 W, 1987 MHz, 14001 MHz, 56
2026/09/13 20:03:45.447, 99 %, 17 %, 331.25 W, 1995 MHz, 14001 MHz, 56
2026/09/13 20:03:46.448, 97 %, 24 %, 329.97 W, 1995 MHz, 14001 MHz, 54
2026/09/13 20:03:47.454, 98 %, 60 %, 295.94 W, 2002 MHz, 14001 MHz, 52
2026/09/13 20:03:48.456, 99 %, 57 %, 259.95 W, 2002 MHz, 14001 MHz, 51
2026/09/13 20:03:49.462, 99 %, 57 %, 252.59 W, 2002 MHz, 14001 MHz, 51
2026/09/13 20:03:50.470, 99 %, 56 %, 279.84 W, 1995 MHz, 14001 MHz, 52
2026/09/13 20:03:51.478, 99 %, 23 %, 345.48 W, 1980 MHz, 14001 MHz, 55
2026/09/13 20:03:52.486, 97 %, 27 %, 348.29 W, 1987 MHz, 14001 MHz, 56
2026/09/13 20:03:53.488, 99 %, 19 %, 346.95 W, 1987 MHz, 14001 MHz, 56
2026/09/13 20:03:54.491, 99 %, 20 %, 337.97 W, 1987 MHz, 14001 MHz, 57
2026/09/13 20:03:55.496, 99 %, 16 %, 333.38 W, 1995 MHz, 14001 MHz, 56
2026/09/13 20:03:56.498, 98 %, 60 %, 317.59 W, 2002 MHz, 14001 MHz, 53
2026/09/13 20:03:57.502, 99 %, 61 %, 293.10 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:03:58.505, 98 %, 61 %, 293.93 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:03:59.510, 99 %, 58 %, 293.96 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:00.513, 98 %, 29 %, 360.38 W, 1987 MHz, 14001 MHz, 55
2026/09/13 20:04:01.517, 98 %, 22 %, 352.87 W, 1987 MHz, 14001 MHz, 57
2026/09/13 20:04:02.522, 98 %, 26 %, 344.49 W, 1987 MHz, 14001 MHz, 56
2026/09/13 20:04:03.527, 98 %, 25 %, 339.57 W, 1995 MHz, 14001 MHz, 57
2026/09/13 20:04:04.531, 98 %, 24 %, 334.37 W, 1995 MHz, 14001 MHz, 56
2026/09/13 20:04:05.537, 99 %, 60 %, 311.45 W, 2010 MHz, 14001 MHz, 53
2026/09/13 20:04:06.542, 99 %, 60 %, 261.38 W, 2002 MHz, 14001 MHz, 53
2026/09/13 20:04:07.545, 98 %, 56 %, 291.03 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:08.550, 98 %, 29 %, 365.38 W, 1987 MHz, 14001 MHz, 57
2026/09/13 20:04:09.556, 99 %, 20 %, 353.41 W, 1987 MHz, 14001 MHz, 57
2026/09/13 20:04:10.562, 98 %, 25 %, 342.47 W, 1987 MHz, 14001 MHz, 57
2026/09/13 20:04:11.566, 98 %, 18 %, 339.47 W, 1995 MHz, 14001 MHz, 57
2026/09/13 20:04:12.567, 98 %, 24 %, 335.30 W, 1995 MHz, 14001 MHz, 57
2026/09/13 20:04:13.576, 96 %, 59 %, 309.54 W, 2010 MHz, 14001 MHz, 53
2026/09/13 20:04:14.578, 99 %, 60 %, 261.81 W, 2002 MHz, 14001 MHz, 53
2026/09/13 20:04:15.583, 99 %, 60 %, 289.57 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:16.593, 99 %, 60 %, 292.80 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:17.596, 99 %, 60 %, 292.23 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:18.601, 98 %, 60 %, 292.68 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:19.605, 99 %, 60 %, 292.88 W, 1995 MHz, 14001 MHz, 53
2026/09/13 20:04:20.611, 97 %, 31 %, 312.97 W, 1980 MHz, 14001 MHz, 56
2026/09/13 20:04:21.616, 97 %, 28 %, 362.28 W, 1987 MHz, 14001 MHz, 57
