2026/09/13 19:47:09.103, 0 %, 0 %, 64.58 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:10.122, 6 %, 1 %, 67.50 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:11.126, 4 %, 1 %, 69.30 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:12.148, 42 %, 11 %, 176.58 W, 1980 MHz, 13801 MHz, 51
2026/09/13 19:47:13.159, 99 %, 56 %, 316.15 W, 1995 MHz, 13801 MHz, 50
2026/09/13 19:47:14.164, 1 %, 0 %, 109.63 W, 2010 MHz, 13801 MHz, 45
2026/09/13 19:47:15.181, 2 %, 0 %, 68.18 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:16.187, 4 %, 1 %, 68.11 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:17.208, 5 %, 1 %, 69.85 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:18.213, 6 %, 1 %, 70.32 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:19.235, 1 %, 0 %, 69.42 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:20.238, 1 %, 0 %, 68.44 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:21.246, 1 %, 0 %, 67.67 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:22.251, 93 %, 24 %, 325.26 W, 1980 MHz, 13801 MHz, 52
2026/09/13 19:47:23.256, 98 %, 25 %, 348.30 W, 1987 MHz, 13801 MHz, 52
2026/09/13 19:47:24.261, 98 %, 23 %, 355.30 W, 1987 MHz, 13801 MHz, 52
2026/09/13 19:47:25.265, 2 %, 1 %, 293.54 W, 2002 MHz, 13801 MHz, 45
2026/09/13 19:47:26.268, 3 %, 1 %, 69.20 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:27.272, 2 %, 1 %, 68.07 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:28.279, 2 %, 1 %, 67.98 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:29.282, 3 %, 1 %, 67.96 W, 2010 MHz, 13801 MHz, 44
2026/09/13 19:47:30.286, 1 %, 1 %, 67.52 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:31.290, 1 %, 1 %, 67.47 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:32.293, 1 %, 1 %, 67.36 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:33.298, 1 %, 1 %, 67.01 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:34.303, 1 %, 1 %, 67.15 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:35.306, 1 %, 1 %, 66.78 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:36.309, 1 %, 1 %, 66.96 W, 2010 MHz, 13801 MHz, 43
2026/09/13 19:47:37.313, 1 %, 1 %, 66.97 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:38.317, 1 %, 1 %, 66.98 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:39.320, 1 %, 1 %, 67.04 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:40.322, 1 %, 1 %, 67.14 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:41.325, 2 %, 1 %, 66.79 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:42.329, 1 %, 1 %, 66.55 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:43.332, 1 %, 1 %, 66.48 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:44.336, 2 %, 1 %, 66.75 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:45.339, 1 %, 1 %, 66.60 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:46.341, 1 %, 1 %, 66.82 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:47.357, 1 %, 1 %, 66.81 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:48.362, 1 %, 1 %, 66.95 W, 2010 MHz, 13801 MHz, 42
2026/09/13 19:47:49.365, 1 %, 1 %, 67.04 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:50.368, 1 %, 1 %, 67.03 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:51.372, 1 %, 1 %, 67.19 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:52.376, 1 %, 1 %, 66.95 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:53.381, 1 %, 0 %, 67.05 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:54.386, 1 %, 0 %, 66.83 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:55.389, 1 %, 0 %, 66.61 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:56.396, 1 %, 0 %, 66.35 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:57.398, 1 %, 0 %, 66.37 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:58.403, 1 %, 0 %, 66.57 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:47:59.407, 1 %, 0 %, 66.65 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:48:00.411, 1 %, 0 %, 66.74 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:48:01.414, 1 %, 0 %, 66.73 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:48:02.418, 1 %, 0 %, 66.50 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:48:03.434, 1 %, 0 %, 66.15 W, 2010 MHz, 13801 MHz, 41
2026/09/13 19:48:04.438, 1 %, 0 %, 66.41 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:05.442, 1 %, 0 %, 66.24 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:06.446, 1 %, 0 %, 66.37 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:07.450, 1 %, 0 %, 66.40 W, 2010 MHz, 13801 MHz, 40
