
running 1 test
test tokens_per_traversal_sets_the_per_token_cost ... ==PROF== Connected to process 23820 (F:\ai\opencode\.inference-qwen-worktrees\issue-92-chunk-decomp\target\x86_64-pc-windows-msvc\debug\deps\chunk_decomposition_gpu-992943a6c07ee85e.exe)
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 1 filtered out; finished in 199.37s

==PROF== Disconnected from process 23820
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_quantize_kernel<Nvfp4ActivationGeometry<17408>, 256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)","1","14","(256, 1, 1)","(4352, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","30,400"
"0","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_quantize_kernel<Nvfp4ActivationGeometry<17408>, 256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)","1","14","(256, 1, 1)","(4352, 1, 1)","0","12.0","Command line profiler metrics","launch__grid_size","","4,352"
"0","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_quantize_kernel<Nvfp4ActivationGeometry<17408>, 256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)","1","14","(256, 1, 1)","(4352, 1, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","0"
"0","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_quantize_kernel<Nvfp4ActivationGeometry<17408>, 256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)","1","14","(256, 1, 1)","(4352, 1, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","25.14"
"0","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_quantize_kernel<Nvfp4ActivationGeometry<17408>, 256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)","1","14","(256, 1, 1)","(4352, 1, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","79.02"
"1","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_tma_kernel<Nvfp4GemvGeometry<5120, 17408>, Nvfp4W4a4TmaSchedule<256, 3, 1>, Nvfp4AddResidualEpilogue, Nvfp4ContiguousOutput>(const Nvfp4W4a4TmaDescriptors *, float, T3, T4)","1","14","(384, 1, 1)","(40, 4, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","235,552"
"1","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_tma_kernel<Nvfp4GemvGeometry<5120, 17408>, Nvfp4W4a4TmaSchedule<256, 3, 1>, Nvfp4AddResidualEpilogue, Nvfp4ContiguousOutput>(const Nvfp4W4a4TmaDescriptors *, float, T3, T4)","1","14","(384, 1, 1)","(40, 4, 1)","0","12.0","Command line profiler metrics","launch__grid_size","","160"
"1","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_tma_kernel<Nvfp4GemvGeometry<5120, 17408>, Nvfp4W4a4TmaSchedule<256, 3, 1>, Nvfp4AddResidualEpilogue, Nvfp4ContiguousOutput>(const Nvfp4W4a4TmaDescriptors *, float, T3, T4)","1","14","(384, 1, 1)","(40, 4, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","75.08"
"1","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_tma_kernel<Nvfp4GemvGeometry<5120, 17408>, Nvfp4W4a4TmaSchedule<256, 3, 1>, Nvfp4AddResidualEpilogue, Nvfp4ContiguousOutput>(const Nvfp4W4a4TmaDescriptors *, float, T3, T4)","1","14","(384, 1, 1)","(40, 4, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","63.74"
"1","23820","chunk_decomposition_gpu-992943a6c07ee85e.exe","127.0.0.1","void nvfp4_w4a4_tma_kernel<Nvfp4GemvGeometry<5120, 17408>, Nvfp4W4a4TmaSchedule<256, 3, 1>, Nvfp4AddResidualEpilogue, Nvfp4ContiguousOutput>(const Nvfp4W4a4TmaDescriptors *, float, T3, T4)","1","14","(384, 1, 1)","(40, 4, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","18.37"
