Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.5,2460128469,10910,225493.0,8402.5,4426,176950167,2750131.0,cudaMemcpyAsync
26.2,1384813471,33,41964044.6,47696656.0,5413,57004167,18275400.7,cudaStreamSynchronize
16.3,860464489,28936,29736.8,8230.0,5287,16239836,484340.0,cudaLaunchKernel
5.6,298050187,8200,36347.6,8410.5,5457,36296557,646438.5,cudaLaunchKernelExC_v11060
2.2,116412699,4608,25263.2,9812.0,6593,13605506,400053.0,cudaMemcpy2DAsync
0.6,33323200,16,2082700.0,36138.5,1990,28026284,6963845.5,cudaMalloc
0.6,30539503,1536,19882.5,8612.5,5046,12682183,323655.0,cudaMemsetAsync
0.5,26368301,13,2028330.8,217150.0,52291,22873983,6268350.4,cuLibraryLoadData
0.4,20709101,7904,2620.1,1322.0,999,3499543,40531.6,cudaMallocAsync_v11020
0.3,15587616,227,68667.9,86238.0,2014,446579,58120.3,cudaEventSynchronize
0.2,13025374,15,868358.3,18861.0,1669,7486508,2020788.6,cudaFree
0.2,12027788,7904,1521.7,1289.0,976,98216,1626.9,cudaFreeAsync_v11020
0.1,7569299,19,398384.2,88497.0,16052,4919885,1104297.6,cuLibraryUnload
0.1,5044161,31616,159.5,115.0,100,59641,435.5,cuTensorMapEncodeTiled
0.1,3918668,28936,135.4,107.0,66,121880,754.2,cuKernelGetName
0.1,2818766,227,12417.5,11933.0,4535,68767,4946.3,cudaEventRecord
0.0,110420,731,151.1,112.0,79,7827,363.7,cuGetProcAddress_v2
0.0,108526,2,54263.0,54263.0,3681,104845,71533.8,cudaStreamDestroy
0.0,56614,19,2979.7,3538.0,366,13425,3160.3,cuLibraryGetKernel
0.0,44323,1,44323.0,44323.0,44323,44323,0.0,cudaStreamCreateWithFlags
0.0,40178,4,10044.5,9201.0,7972,13804,2589.7,cudaMemset
0.0,29351,1,29351.0,29351.0,29351,29351,0.0,cuCtxSynchronize
0.0,18531,1,18531.0,18531.0,18531,18531,0.0,cudaMemGetInfo
0.0,13157,1,13157.0,13157.0,13157,13157,0.0,cudaStreamCreate
0.0,7158,1,7158.0,7158.0,7158,7158,0.0,cuModuleGetLoadingMode
0.0,6972,1,6972.0,6972.0,6972,6972,0.0,cudaEventCreateWithFlags
0.0,2593,1,2593.0,2593.0,2593,2593,0.0,cudaEventDestroy
0.0,271,1,271.0,271.0,271,271,0.0,cuDeviceGetLuid
