Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.6,926064264,2048,452179.8,400284.0,384732,1316689,116430.5,"void ninfer::ops::detail::nvfp4_linear_swiglu_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)34816, (int)5120>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, __nv_bfloat16 *)"
14.4,410011056,2048,200200.7,180126.0,173534,890646,74669.3,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)17408>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
11.5,328169042,512,640955.2,641721.0,102879,1963530,369500.3,"void ninfer::ops::gqa_attention_prefill_bf16_kernel<ninfer::ops::GqaGeometry<(int)24, (int)4, (int)1>, ninfer::ops::GqaPrefillBatchMetadata<(bool)0>, (bool)0, (bool)0>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, T2, const int *, float, __nv_bfloat16 *, int, int, int, int, __nv_bfloat16 *, float *, float *, int, float *, float *, float *, int)"
10.3,293391558,1536,191010.1,170462.5,162302,743480,74948.8,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)16384, (int)5120>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4GdnInputOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
6.0,169718387,192,883949.9,768151.0,743671,2387301,239158.6,"void ninfer::ops::detail::bf16_gemm_mma_kernel<ninfer::ops::detail::Bf16GemvGeometry<(int)14336, (int)5120>, ninfer::ops::detail::Bf16MmaSchedule<(int)64, (int)128, (int)64, (int)32, (int)32, (int)2, (int)2, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Bf16MmaFragmentPipeline)1, (ninfer::ops::detail::Bf16MmaRaster)0, (ninfer::ops::detail::Bf16MmaSwizzle)1, (int)1>, (bool)1, ninfer::ops::detail::<unnamed>::Bf16AttentionInputMmaOutput>(const __nv_bfloat16 *, const __nv_bfloat16 *, T4, int)"
5.1,143851177,1952,73694.3,66015.0,63583,530458,46363.5,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
4.0,113342488,1536,73790.7,68575.0,66976,654041,41336.4,"void ninfer::ops::detail::gated_delta_net::chunked::state_passing::state_passing_kernel<(int)16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, __nv_bfloat16 *, __nv_bfloat16 *, float *, ninfer::ops::detail::gated_delta_net::head_map, int)"
2.6,72874870,1536,47444.6,44255.0,43743,721464,35194.2,"void ninfer::ops::detail::gated_delta_net::chunked::prepare_wy_wu::prepare_wy_wu_kernel<(int)64, (int)32, (int)8>(const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, __nv_bfloat16 *, __nv_bfloat16 *, float *, ninfer::ops::detail::gated_delta_net::head_map)"
1.9,54582001,320,170568.8,148094.0,143902,647864,77446.6,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)14336, (int)5120>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::<unnamed>::AttentionOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
1.9,53592975,1536,34891.3,26272.0,25472,877718,74487.4,"ninfer::ops::causal_conv1d_prefill_pairs_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
