Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.6,3307984917,54,61258979.9,59032981.5,2237553,128288801,59482904.6,"void ninfer::ops::vision_attention_flash_kernel<(int)64, (int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const ninfer::ops::VisionAttentionTile *, int, int, __nv_bfloat16 *, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
7.9,478986059,1152,415786.5,408638.0,382910,783259,47995.6,"void ninfer::ops::detail::nvfp4_linear_swiglu_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)34816, (int)5120>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, __nv_bfloat16 *)"
5.4,325187567,352,923828.3,833515.0,47583,2445482,711753.3,"void ninfer::ops::gqa_attention_prefill_bf16_kernel<ninfer::ops::GqaGeometry<(int)24, (int)4, (int)1>, ninfer::ops::GqaPrefillBatchMetadata<(bool)0>, (bool)1, (bool)0>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, T2, const int *, float, __nv_bfloat16 *, int, int, int, int, __nv_bfloat16 *, float *, float *, int, float *, float *, float *, int)"
3.7,221036962,1152,191872.4,187071.0,174495,743676,43799.3,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)17408>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
3.3,202718515,2940,68951.9,67744.0,62400,400157,18311.1,"void ninfer::ops::detail::nvfp4_small_t_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)6144, (int)5120>, (int)32, ninfer::ops::detail::Nvfp4SmallTSchedule<(int)4, (int)1, (int)2, (int)16, (int)32, (int)1, (ninfer::ops::detail::Nvfp4SmallTActivationAccess)1, (ninfer::ops::detail::Nvfp4ScaleAccess)1, (ninfer::ops::detail::Nvfp4CodeCache)0, (int)1, (ninfer::ops::detail::Nvfp4SmallTBlockOrder)0, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, (ninfer::ops::detail::Nvfp4SmallTFinalization)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, float, T4, T5)"
3.0,180779589,588,307448.3,299821.5,291390,814968,44001.3,"void ninfer::ops::detail::nvfp4_small_t_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)25600>, (int)32, ninfer::ops::detail::Nvfp4SmallTSchedule<(int)4, (int)1, (int)2, (int)16, (int)32, (int)1, (ninfer::ops::detail::Nvfp4SmallTActivationAccess)1, (ninfer::ops::detail::Nvfp4ScaleAccess)1, (ninfer::ops::detail::Nvfp4CodeCache)0, (int)1, (ninfer::ops::detail::Nvfp4SmallTBlockOrder)0, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, (ninfer::ops::detail::Nvfp4SmallTFinalization)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, float, T4, T5)"
2.6,158300738,864,183218.4,178719.0,167167,558684,37887.7,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)16384, (int)5120>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4GdnInputOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
2.0,119910245,352,340654.1,329709.0,40896,1062998,228438.7,"void ninfer::ops::gqa_attention_prefill_hq_scratch_kernel<ninfer::ops::GqaGeometry<(int)24, (int)4, (int)1>, ninfer::ops::GqaPrefillBatchMetadata<(bool)0>>(const unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, T2, const int *, int, int, __nv_bfloat16 *, __nv_bfloat16 *, int, int, const __nv_bfloat16 *, const __nv_bfloat16 *, const unsigned int *, bool)"
2.0,118095582,54,2186955.2,2215763.5,488541,4450277,1700456.0,"void ninfer::ops::detail::q5_rowsplit_gemm_mma_kernel<ninfer::ops::detail::Q5RowSplitMmaGemmSchedule<(int)64, (int)128, (int)64, (int)64, (int)32, (int)2, (int)1, (ninfer::ops::detail::Q5FragmentPipeline)0, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Q5ScaleLoad)1>, (bool)0, (ninfer::ops::detail::Q5MmaEpilogue)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int)"
1.8,111088619,54,2057196.6,2078691.5,470364,4508869,1586962.1,"void ninfer::ops::detail::q4_rowsplit_gemm_mma_kernel<ninfer::ops::detail::Q4RowSplitMmaGemmSchedule<(int)64, (int)128, (int)64, (int)64, (int)32, (int)2, (int)1, (ninfer::ops::detail::Q4FragmentPipeline)0, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Q4ScaleLoad)1>, (bool)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, __nv_bfloat16 *, int, int, int, int)"
