t,adapter_ded_mib,adapter_shared_mib,proc_pid,proc_ded_mib,proc_shared_mib,proc_commit_mib,proc_ws_mib,smi_used_mib
01:43:11,1635,103,,,,,,1617
01:43:15,19795,180,32428,18158,74,18232,1754,19776
01:43:19,19795,183,32428,18158,74,18232,1846,19772
01:43:23,29946,180,32428,28314,74,28388,455,29927
01:43:27,29967,181,32428,28314,74,28388,455,29945
01:43:31,29964,187,32428,28314,74,28388,455,29945
01:43:35,29956,182,32428,28314,74,28388,456,29936
01:43:39,29955,179,32428,28314,74,28388,457,29936
01:43:44,29972,179,32428,28314,74,28388,457,29945
01:43:48,29964,181,32428,28314,74,28388,457,29945
01:43:52,29956,179,32428,28314,74,28388,457,29937
01:43:56,29955,176,32428,28314,74,28388,457,29936
01:44:00,29972,178,32428,28314,74,28388,457,29953
01:44:04,29972,178,32428,28314,74,28388,457,29953
01:44:08,1656,104,,,,,,1637
01:44:11,1656,104,,,,,,1638
01:44:14,1655,102,,,,,,1637
01:44:17,1651,108,,,,,,1633
01:44:20,1650,104,,,,,,1632
01:44:23,1650,105,,,,,,1631
01:44:26,1647,108,,,,,,1629
01:44:29,1636,104,,,,,,1618
01:44:33,1666,102,,,,,,1648
01:44:36,1670,123,,,,,,1651
