t,adapter_ded_mib,adapter_shared_mib,proc_pid,proc_ded_mib,proc_shared_mib,proc_commit_mib,proc_ws_mib,smi_used_mib
01:44:43,1638,167,50416,18158,74,18232,145,19763
01:44:49,19782,199,50416,18158,74,18232,1845,19763
01:44:54,29954,170,50416,28314,74,28388,455,29936
01:44:59,29959,171,50416,29000,74,29074,460,30624
01:45:04,30665,174,50416,29458,76,29534,484,31075
01:45:09,31532,174,50416,30142,76,30218,488,31692
01:45:14,31496,174,50416,29914,76,29990,490,31477
01:45:19,31496,173,50416,29946,76,30022,490,31477
01:45:24,31720,173,50416,30142,76,30218,491,31702
01:45:29,31518,174,50416,30443,460,30903,491,31807
01:45:35,31827,604,50416,29822,396,30218,879,31187
01:45:40,31239,539,50416,30174,76,30250,879,31586
01:45:45,31783,218,50416,30370,76,30446,886,31732
01:45:50,31769,358,50416,30178,268,30446,886,31523
01:45:55,31392,338,50416,29982,268,30250,884,31373
01:46:00,31809,150,50416,30438,268,30706,870,31780
01:46:05,31799,580,50416,30247,460,30707,874,31584
01:46:10,31439,517,50416,30082,396,30478,863,31420
01:46:15,31868,343,50416,30438,268,30706,849,31849
01:46:20,31372,583,50416,30084,396,30480,882,31449
01:46:25,31664,518,50416,30080,140,30220,868,31445
01:46:30,31559,198,50416,30404,76,30480,859,31736
01:46:36,31824,390,50416,30440,268,30708,846,31804
01:46:41,31632,582,50416,30249,460,30709,887,31613
01:46:46,31696,518,50416,30445,460,30905,873,31809
01:46:51,31879,319,50416,30508,396,30904,859,31855
01:46:56,31710,448,50416,30376,332,30708,889,31690
01:47:01,31874,516,50416,30508,396,30904,875,31855
01:47:06,31826,347,50416,30440,268,30708,861,31851
01:47:11,31860,347,50416,30440,268,30708,848,31841
01:47:16,31838,348,50416,30312,396,30708,834,31659
01:47:21,31742,460,50416,30376,332,30708,823,31723
01:47:26,31838,330,50416,30508,396,30904,810,31855
01:47:31,31514,459,50416,30148,332,30480,831,31495
01:47:37,31805,178,50416,30404,76,30480,818,31818
01:47:42,31871,370,50416,30440,268,30708,869,31852
01:47:47,31859,353,50416,30504,204,30708,855,31840
01:47:52,31927,525,50416,30508,396,30904,923,31923
01:47:57,31704,291,50416,30404,76,30480,909,31813
01:48:02,31976,233,50416,30404,76,30480,899,31759
01:48:07,31782,418,50416,30440,268,30708,957,31724
01:48:12,31657,428,50416,30440,268,30708,942,31637
01:48:17,31664,615,50416,30477,460,30937,927,31695
01:48:22,31709,621,50416,30477,460,30937,927,31689
01:48:27,31708,621,50416,30477,460,30937,927,31689
01:48:33,31708,616,50416,30477,460,30937,927,31689
01:48:38,31744,616,50416,30445,460,30905,927,31688
01:48:43,31702,619,50416,30477,460,30937,923,31702
01:48:48,31720,619,50416,30477,460,30937,923,31701
01:48:53,31709,604,50416,30477,460,30937,923,31689
01:48:58,31709,603,50416,30477,460,30937,923,31690
01:49:03,31719,607,50416,30445,460,30905,923,31673
01:49:08,31714,610,50416,30445,460,30905,923,31644
01:49:13,31693,611,50416,30477,460,30937,923,31705
01:49:18,31701,607,50416,30477,460,30937,923,31682
01:49:23,31738,611,50416,30477,460,30937,923,31700
01:49:29,31708,610,50416,30477,460,30937,923,31700
01:49:34,31720,616,50416,30477,460,30937,923,31681
01:49:39,31701,613,50416,30477,460,30937,923,31681
01:49:44,31704,613,50416,30477,460,30937,919,31683
01:49:49,31707,611,50416,30477,460,30937,919,31700
01:49:54,31839,600,50416,30477,460,30937,919,31745
01:49:59,31773,603,50416,30477,460,30937,907,31722
01:50:04,31689,606,50416,30477,460,30937,907,31688
01:50:09,31704,606,50416,30477,460,30937,907,31699
