t,adapter_ded_mib,adapter_shared_mib,proc_pid,proc_ded_mib,proc_shared_mib,proc_commit_mib,proc_ws_mib,smi_used_mib
01:03:51,2610,128,,,,,,2589
01:03:55,2610,127,,,,,,2589
01:03:59,2610,127,,,,,,2589
01:04:03,2610,126,,,,,,2589
01:04:07,2609,126,,,,,,2589
01:04:11,2609,126,,,,,,2589
01:04:15,2617,133,,,,,,2597
01:04:20,2617,132,,,,,,2597
01:04:24,2623,132,,,,,,2602
01:04:28,2639,178,64796,18158,74,18232,158,20762
01:04:33,20783,206,64796,18158,74,18232,1864,20762
01:04:38,31193,8398,64796,28574,8266,36840,8659,31162
01:04:43,31201,8397,64796,28574,8266,36840,8664,31164
01:04:48,31224,8397,64796,28574,8266,36840,8664,31166
01:04:53,31189,8391,64796,28574,8266,36840,8664,31153
01:04:58,31189,8392,64796,28574,8266,36840,8664,31153
01:05:03,31191,8392,64796,28576,8266,36842,8668,31151
01:05:08,31185,8392,64796,28576,8266,36842,8668,31148
01:05:14,31183,8393,64796,28576,8266,36842,8668,31143
01:05:19,31180,8392,64796,28608,8268,36876,8670,31175
01:05:24,31180,8413,64796,28576,8268,36844,8694,31176
01:05:29,31178,8344,64796,28576,8268,36844,8700,31142
01:05:34,31178,8347,64796,28576,8268,36844,8700,31142
01:05:39,31178,8347,64796,28576,8268,36844,8701,31142
01:05:44,31205,8351,64796,28608,8268,36876,8738,31169
01:05:49,31205,8352,64796,28608,8268,36876,8740,31169
01:05:54,31205,8352,64796,28608,8268,36876,8741,31169
01:05:59,31205,8353,64796,28608,8268,36876,8741,31169
01:06:04,31205,8353,64796,28608,8268,36876,8741,31169
01:06:09,31205,8353,64796,28608,8268,36876,8741,31169
01:06:15,31205,8358,64796,28576,8268,36844,8741,31136
01:06:20,31172,8358,64796,28576,8268,36844,8752,31136
01:06:25,31172,8358,64796,28576,8268,36844,8760,31136
01:06:30,31174,8346,64796,28610,8268,36878,8760,31170
01:06:35,31174,8347,64796,28578,8268,36846,8760,31138
01:06:40,31174,8348,64796,28578,8268,36846,8757,31138
01:06:45,31173,8352,64796,28610,8268,36878,8759,31169
01:06:50,31173,8352,64796,28578,8268,36846,8759,31137
01:06:55,31205,8352,64796,28578,8268,36846,8759,31137
01:07:00,31173,8353,64796,28578,8268,36846,8759,31137
01:07:05,31173,8353,64796,28610,8268,36878,8760,31137
01:07:10,31205,8353,64796,28610,8268,36878,8760,31169
01:07:16,31205,8352,64796,28610,8268,36878,8760,31137
01:07:21,31205,8353,64796,28578,8268,36846,8760,31169
01:07:26,31205,8353,64796,28610,8268,36878,8768,31169
01:07:31,31205,8347,64796,28610,8268,36878,8761,31169
01:07:36,31173,8347,64796,28578,8268,36846,8761,31137
01:07:41,31205,8348,64796,28610,8268,36878,8761,31171
01:07:46,31207,8352,64796,28610,8268,36878,8761,31171
01:07:51,31207,8352,64796,28578,8268,36846,8769,31139
01:07:56,31207,8352,64796,28610,8268,36878,8769,31171
01:08:01,31175,8353,64796,28610,8268,36878,8772,31171
01:08:06,31207,8353,64796,28578,8268,36846,8772,31171
01:08:12,31175,8353,64796,28578,8268,36846,8772,31171
01:08:17,31207,8352,64796,28578,8268,36846,8773,31139
01:08:22,31175,8352,64796,28610,8268,36878,8773,31171
01:08:27,31207,8352,64796,28610,8268,36878,8775,31171
01:08:32,31207,8347,64796,28610,8268,36878,8775,31139
01:08:37,31207,8347,64796,28610,8268,36878,8775,31171
01:08:42,31177,8351,64796,28578,8268,36846,8778,31138
01:08:47,31175,8351,64796,28578,8268,36846,8775,31170
01:08:52,31207,8352,64796,28610,8268,36878,8775,31170
01:08:57,31207,8352,64796,28610,8268,36878,8775,31170
01:09:02,31175,8352,64796,28578,8268,36846,8775,31170
01:09:07,31172,8385,64796,28610,8268,36878,8775,31135
01:09:13,31158,8384,64796,28610,8268,36878,8776,31164
01:09:18,31163,8386,64796,28578,8268,36846,8776,31175
01:09:23,31184,8386,64796,28610,8268,36878,8776,31164
01:09:28,31175,8386,64796,28578,8268,36846,8776,31117
01:09:33,31187,8358,64796,28610,8268,36878,8777,31149
01:09:38,31181,8358,64796,28578,8268,36846,8777,31144
01:09:43,31182,8358,64796,28610,8268,36878,8777,31173
01:09:48,31208,8360,64796,28578,8268,36846,8776,31158
01:09:53,31215,8360,64796,28610,8268,36878,8776,31155
01:09:58,31178,8360,64796,28610,8268,36878,8776,31146
01:10:03,31183,8363,64796,28610,8268,36878,8776,31146
01:10:09,31153,8362,64796,28578,8268,36846,8788,31149
01:10:14,31187,8362,64796,28610,8268,36878,8779,31151
01:10:19,31163,8360,64796,28610,8268,36878,8779,31164
01:10:24,31208,8362,64796,28610,8268,36878,8779,31151
01:10:29,31196,8326,64796,28610,8268,36878,8779,31159
01:10:34,31193,8357,64796,28578,8268,36846,8779,31121
01:10:39,31160,8362,64796,28610,8268,36878,8779,31124
01:10:44,31196,8363,64796,28610,8268,36878,8779,31159
01:10:49,31183,8358,64796,28610,8268,36878,8779,31130
01:10:54,31196,8359,64796,28610,8268,36878,8781,31159
01:10:59,31173,8361,64796,28610,8268,36878,8781,31137
01:11:05,31173,8361,64796,28578,8268,36846,8781,31136
01:11:10,31173,8361,64796,28610,8268,36878,8781,31136
01:11:15,31172,8364,64796,28610,8268,36878,8781,31135
01:11:20,31137,8364,64796,28610,8268,36878,8781,31133
01:11:25,31137,8364,64796,28610,8268,36878,8781,31133
01:11:30,31167,8346,64796,28578,8268,36846,8781,31131
01:11:35,31105,8350,64796,28578,8268,36846,8783,31069
01:11:40,31137,8352,64796,28610,8268,36878,8784,31101
01:11:45,31140,8356,64796,28610,8268,36878,8784,31104
01:11:50,31140,8356,64796,28610,8268,36878,8784,31104
01:11:55,31140,8356,64796,28610,8268,36878,8784,31104
01:12:00,31108,8357,64796,28610,8268,36878,8785,31072
01:12:06,31108,8357,64796,28610,8268,36878,8785,31104
01:12:11,31108,8357,64796,28610,8268,36878,8785,31104
01:12:16,31108,8358,64796,28610,8268,36878,8784,31104
01:12:21,31140,8358,64796,28610,8268,36878,8784,31072
01:12:26,31140,8358,64796,28610,8268,36878,8784,31092
01:12:31,31127,8346,64796,28610,8268,36878,8784,31091
01:12:36,31095,8346,64796,28578,8268,36846,8784,31059
01:12:41,31095,8348,64796,28578,8268,36846,8784,31061
01:12:46,31129,8352,64796,28610,8268,36878,8784,31093
01:12:51,31129,8352,64796,28610,8268,36878,8791,31061
01:12:56,31129,8352,64796,28610,8268,36878,8783,31061
01:13:02,31129,8353,64796,28610,8268,36878,8783,31093
01:13:07,31129,8353,64796,28610,8268,36878,8783,31061
01:13:12,31129,8353,64796,28610,8268,36878,8783,31093
01:13:17,31129,8355,64796,28610,8268,36878,8783,31093
01:13:22,31129,8355,64796,28610,8268,36878,8783,31093
01:13:27,31129,8355,64796,28610,8268,36878,8783,31087
01:13:32,31091,8347,64796,28578,8268,36846,8783,31055
01:13:37,31091,8347,64796,28578,8268,36846,8783,31055
01:13:42,31097,8351,64796,28578,8268,36846,8784,31060
01:13:47,31096,8352,64796,28610,8268,36878,8784,31092
01:13:52,31096,8353,64796,28610,8268,36878,8784,31092
01:13:58,31128,8353,64796,28610,8268,36878,8784,31092
01:14:03,31128,8354,64796,28578,8268,36846,8784,31092
01:14:08,31128,8354,64796,28578,8268,36846,8784,31060
01:14:13,31096,8354,64796,28578,8268,36846,8784,31060
01:14:18,31097,8359,64796,28578,8268,36846,8784,31060
01:14:23,31097,8359,64796,28578,8268,36846,8786,31060
01:14:28,31098,8358,64796,28578,8268,36846,8796,31061
01:14:33,31096,8349,64796,28578,8268,36846,8789,31059
01:14:38,31083,8348,64796,28578,8268,36846,8789,31051
01:14:43,31153,8383,64796,28610,8268,36878,8788,31116
01:14:48,31179,8383,64796,28610,8268,36878,8788,31143
01:14:54,31171,8386,64796,28610,8268,36878,8788,31103
01:14:59,31136,8385,64796,28610,8268,36878,8788,31132
01:15:04,31168,8384,64796,28610,8268,36878,8788,31132
01:15:09,31169,8387,64796,28610,8268,36878,8788,31101
01:15:14,31127,8386,64796,28610,8268,36878,8788,31123
01:15:19,31088,8379,64796,28578,8268,36846,8788,31084
01:15:24,31088,8379,64796,28610,8268,36878,8816,31084
01:15:29,31119,8327,64796,28610,8268,36878,8789,31083
01:15:34,31119,8349,64796,28578,8268,36846,8771,31051
01:15:39,31119,8352,64796,28610,8268,36878,8797,31083
01:15:44,31121,8354,64796,28610,8268,36878,8789,31053
01:15:49,31121,8355,64796,28578,8268,36846,8793,31085
01:15:55,31121,8355,64796,28610,8268,36878,8793,31085
01:16:00,31121,8356,64796,28578,8268,36846,8793,31085
01:16:05,31089,8356,64796,28610,8268,36878,8793,31085
01:16:10,31121,8356,64796,28610,8268,36878,8794,31053
01:16:15,31121,8355,64796,28610,8268,36878,8794,31085
01:16:20,31089,8355,64796,28578,8268,36846,8795,31053
01:16:25,31121,8355,64796,28578,8268,36846,8795,31085
01:16:30,31121,8346,64796,28610,8268,36878,8795,31085
01:16:35,31089,8346,64796,28578,8268,36846,8795,31053
01:16:40,31121,8347,64796,28610,8268,36878,8796,31085
01:16:45,31126,8350,64796,28610,8268,36878,8796,31058
01:16:50,31094,8350,64796,28610,8268,36878,8796,31090
01:16:56,31126,8350,64796,28610,8268,36878,8796,31090
01:17:01,31094,8351,64796,28578,8268,36846,8796,31058
01:17:06,31094,8351,64796,28578,8268,36846,8797,31058
01:17:11,31094,8351,64796,28578,8268,36846,8797,31058
01:17:16,31095,8356,64796,28578,8268,36846,8797,31055
01:17:21,31091,8356,64796,28610,8268,36878,8811,31087
01:17:26,31091,8356,64796,28578,8268,36846,8798,31055
01:17:31,31091,8346,64796,28578,8268,36846,8798,31055
01:17:36,31091,8346,64796,28578,8268,36846,8798,31055
01:17:41,31091,8347,64796,28578,8268,36846,8798,31057
01:17:46,31092,8350,64796,28578,8268,36846,8798,31057
01:17:52,31092,8350,64796,28578,8268,36846,8798,31057
01:17:57,31124,8350,64796,28610,8268,36878,8798,31057
01:18:02,31093,8351,64796,28578,8268,36846,8798,31057
01:18:07,31125,8351,64796,28610,8268,36878,8813,31089
01:18:12,31125,8354,64796,28578,8268,36846,8813,31057
01:18:17,31125,8354,64796,28610,8268,36878,8813,31089
01:18:22,31125,8354,64796,28610,8268,36878,8813,31057
01:18:27,31125,8354,64796,28610,8268,36878,8813,31089
01:18:32,31092,8345,64796,28610,8268,36878,8813,31089
01:18:37,31124,8345,64796,28610,8268,36878,8813,31089
01:18:42,31127,8348,64796,28610,8268,36878,8813,31059
01:18:48,31127,8349,64796,28578,8268,36846,8814,31091
01:18:53,31095,8349,64796,28578,8268,36846,8814,31059
01:18:58,31095,8349,64796,28578,8268,36846,8814,31059
01:19:03,31127,8350,64796,28610,8268,36878,8812,31091
01:19:08,31095,8350,64796,28610,8268,36878,8812,31091
01:19:13,31127,8350,64796,28610,8268,36878,8812,31091
01:19:18,31127,8350,64796,28610,8268,36878,8812,31091
01:19:23,31095,8350,64796,28578,8268,36846,8812,31059
01:19:28,31095,8350,64796,28578,8268,36846,8810,31059
01:19:33,31095,8345,64796,28578,8268,36846,8810,31059
01:19:38,31095,8349,64796,28578,8268,36846,8809,31091
01:19:43,31130,8354,64796,28610,8268,36878,8809,31062
01:19:49,31098,8354,64796,28578,8268,36846,8809,31062
01:19:54,31098,8354,64796,28578,8268,36846,8810,31062
01:19:59,31098,8355,64796,28578,8268,36846,8810,31062
01:20:04,31098,8355,64796,28578,8268,36846,8816,31062
01:20:09,31098,8356,64796,28578,8268,36846,8810,31062
01:20:14,31098,8356,64796,28578,8268,36846,8810,31063
01:20:19,31099,8361,64796,28578,8268,36846,8810,31063
01:20:24,31099,8361,64796,28578,8268,36846,8810,31063
01:20:29,31099,8343,64796,28578,8268,36846,8810,31063
01:20:34,31131,8349,64796,28610,8268,36878,8811,31095
01:20:39,31131,8349,64796,28610,8268,36878,8811,31095
01:20:45,31133,8352,64796,28610,8268,36878,8811,31097
01:20:50,31133,8353,64796,28610,8268,36878,8811,31097
01:20:55,31133,8353,64796,28610,8268,36878,8811,31097
01:21:00,31133,8353,64796,28610,8268,36878,8811,31097
01:21:05,31133,8353,64796,28610,8268,36878,8811,31097
01:21:10,31133,8353,64796,28610,8268,36878,8811,31097
01:21:15,31133,8354,64796,28610,8268,36878,8813,31097
01:21:20,31133,8353,64796,28578,8268,36846,8814,31065
01:21:25,31101,8353,64796,28578,8268,36846,8814,31065
01:21:30,31133,8345,64796,28610,8268,36878,8817,31097
01:21:35,31133,8345,64796,28610,8268,36878,8817,31097
01:21:40,31133,8346,64796,28610,8268,36878,8818,31097
01:21:46,31136,8349,64796,28578,8268,36846,8818,31068
01:21:51,31104,8349,64796,28578,8268,36846,8818,31068
01:21:56,31104,8350,64796,28578,8268,36846,8818,31068
01:22:01,31104,8350,64796,28578,8268,36846,8819,31068
01:22:06,31136,8355,64796,28578,8268,36846,8822,31068
01:22:11,31104,8355,64796,28578,8268,36846,8829,31068
01:22:16,31104,8355,64796,28578,8268,36846,8822,31068
01:22:21,31104,8355,64796,28578,8268,36846,8822,31068
01:22:26,31104,8355,64796,28578,8268,36846,8822,31068
01:22:31,31104,8346,64796,28578,8268,36846,8823,31068
01:22:36,31104,8346,64796,28578,8268,36846,8830,31068
01:22:42,31104,8346,64796,28578,8268,36846,8823,31070
01:22:47,31103,8350,64796,28578,8268,36846,8822,31068
01:22:52,31103,8350,64796,28578,8268,36846,8822,31068
01:22:57,31103,8350,64796,28610,8268,36878,8823,31100
01:23:02,31135,8350,64796,28610,8268,36878,8833,31068
01:23:07,31103,8350,64796,28610,8268,36878,8833,31100
01:23:12,31103,8351,64796,28610,8268,36878,8833,31100
01:23:17,31137,8355,64796,28610,8268,36878,8833,31101
01:23:22,31137,8355,64796,28610,8268,36878,8833,31101
01:23:27,31137,8355,64796,28610,8268,36878,8831,31101
01:23:32,31137,8346,64796,28610,8268,36878,8831,31101
01:23:37,31137,8346,64796,28610,8268,36878,8831,31101
01:23:43,31139,8350,64796,28578,8268,36846,8831,31069
01:23:48,31105,8351,64796,28578,8268,36846,8832,31069
01:23:53,31137,8351,64796,28610,8268,36878,8834,31101
01:23:58,31105,8351,64796,28610,8268,36878,8833,31069
01:24:03,31137,8352,64796,28610,8268,36878,8833,31101
01:24:08,31137,8352,64796,28610,8268,36878,8833,31101
01:24:13,31105,8352,64796,28610,8268,36878,8833,31101
01:24:18,31137,8352,64796,28610,8268,36878,8832,31101
01:24:23,31105,8352,64796,28578,8268,36846,8834,31069
01:24:28,31137,8352,64796,28610,8268,36878,8834,31101
01:24:33,31137,8346,64796,28610,8268,36878,8834,31101
01:24:39,31137,8346,64796,28578,8268,36846,8834,31101
01:24:44,31135,8350,64796,28610,8268,36878,8834,31100
01:24:49,31135,8350,64796,28610,8268,36878,8834,31100
01:24:54,31135,8350,64796,28610,8268,36878,8834,31100
01:24:59,31103,8350,64796,28610,8268,36878,8835,31100
01:25:04,31103,8352,64796,28578,8268,36846,8835,31068
01:25:09,31135,8352,64796,28610,8268,36878,8835,31068
01:25:14,31135,8352,64796,28610,8268,36878,8835,31100
01:25:19,31103,8352,64796,28610,8268,36878,8835,31100
01:25:24,31135,8352,64796,28578,8268,36846,8835,31100
01:25:29,31135,8322,64796,28610,8268,36878,8835,31100
01:25:35,31135,8346,64796,28610,8268,36878,8835,31100
01:25:40,31103,8346,64796,28610,8268,36878,8835,31100
01:25:45,31135,8349,64796,28610,8268,36878,8835,31068
01:25:50,31103,8350,64796,28610,8268,36878,8836,31068
01:25:55,31135,8350,64796,28610,8268,36878,8836,31100
01:26:00,31103,8351,64796,28578,8268,36846,8836,31068
01:26:05,31135,8351,64796,28610,8268,36878,8837,31100
01:26:10,31135,8351,64796,28610,8268,36878,8837,31100
01:26:15,31135,8350,64796,28610,8268,36878,8837,31100
01:26:20,31135,8350,64796,28610,8268,36878,8837,31100
01:26:25,31103,8350,64796,28578,8268,36846,8837,31068
01:26:30,31135,8345,64796,28610,8268,36878,8849,31100
01:26:36,31135,8346,64796,28610,8268,36878,8849,31100
01:26:41,31135,8346,64796,28610,8268,36878,8849,31100
01:26:46,31135,8350,64796,28610,8268,36878,8849,31100
01:26:51,31135,8350,64796,28610,8268,36878,8849,31100
01:26:56,31135,8350,64796,28610,8268,36878,8849,31100
01:27:01,31135,8351,64796,28610,8268,36878,8849,31068
01:27:06,31103,8351,64796,28578,8268,36846,8849,31100
01:27:11,31135,8351,64796,28610,8268,36878,8849,31100
01:27:16,31135,8351,64796,28610,8268,36878,8849,31100
01:27:21,31103,8351,64796,28578,8268,36846,8849,31068
01:27:27,31135,8351,64796,28610,8268,36878,8849,31100
01:27:32,31103,8345,64796,28610,8268,36878,8849,31068
01:27:37,31103,8346,64796,28578,8268,36846,8849,31068
01:27:42,31135,8347,64796,28610,8268,36878,8847,31070
01:27:47,31134,8351,64796,28578,8268,36846,8847,31098
01:27:52,31102,8351,64796,28610,8268,36878,8847,31098
01:27:57,31134,8352,64796,28610,8268,36878,8847,31098
01:28:02,31134,8355,64796,28610,8268,36878,8847,31098
01:28:07,31102,8355,64796,28610,8268,36878,8847,31098
01:28:12,31134,8355,64796,28610,8268,36878,8847,31098
01:28:17,31135,8360,64796,28578,8268,36846,8847,31068
01:28:22,31135,8360,64796,28610,8268,36878,8847,31100
01:28:28,31138,8360,64796,28610,8268,36878,8847,31102
01:28:33,31140,8345,64796,28610,8268,36878,8847,31104
01:28:38,31140,8345,64796,28610,8268,36878,8847,31104
01:28:43,31111,8348,64796,28578,8268,36846,8847,31072
01:28:48,31106,8353,64796,28578,8268,36846,8847,31070
01:28:53,31106,8354,64796,28578,8268,36846,8847,31070
01:28:58,31106,8354,64796,28578,8268,36846,8847,31070
01:29:03,31106,8355,64796,28578,8268,36846,8847,31070
01:29:08,31106,8355,64796,28578,8268,36846,8847,31070
01:29:13,31106,8355,64796,28578,8268,36846,8847,31070
01:29:18,31106,8355,64796,28578,8268,36846,8847,31070
01:29:23,31106,8355,64796,28578,8268,36846,8847,31070
01:29:29,31106,8355,64796,28578,8268,36846,8847,31070
01:29:34,2525,79,,,,,,2506
